Time, XRP(Price), Cash, Market Value, Shares,
37222, 0.18861204, 538.4905016558365, 636.84209309763, 3376.46575, 
37292, 0.18861204, 538.4905016558365, 636.84209309763, 3376.46575, 
37363, 0.18861204, 538.4905016558365, 636.84209309763, 3376.46575, 
37433, 0.18861204, 538.4905016558365, 636.84209309763, 3376.46575, 
37504, 0.18861204, 538.4905016558365, 636.84209309763, 3376.46575, 
37575, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
37645, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
37716, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
37786, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
37857, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
37927, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
37998, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38068, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38139, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38210, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38280, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38351, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38421, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38492, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38562, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38633, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38704, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38774, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38845, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38916, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
38986, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39057, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39127, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39198, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39268, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39339, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39409, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39480, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39550, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39621, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39691, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39762, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39832, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39903, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
39974, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40044, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40115, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40186, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
